date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:42	28774/28774	---M-Z	200	added ('OK')	text/html	etag:%2214dc3680-7066-58046e950b580-gzip%22	https://sojonever.com/html/zuman/index.html	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/index.html	(from )
13:38:43	481/481	---M-Z	404	error ('Not%20Found')	text/html	etag:%2214dc347b-415-5756f1e1836db;581b46a9034da-gzip%22	https://sojonever.com/robots.txt		(from )
13:38:43	15687/15687	---M--	200	added ('OK')	image/png	etag:%2214dc3665-3d47-580266ceae800%22	https://sojonever.com/html/zuman/img/favicon.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/favicon.png	(from https://sojonever.com/html/zuman/index.html)
13:38:46	140895/140895	---M--	200	added ('OK')	text/css	etag:%2214dc0a77-2265f-5734f2b8fac80%22	https://sojonever.com/html/zuman/css/bootstrap.min.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/bootstrap.min.css	(from https://sojonever.com/html/zuman/index.html)
13:38:46	8666/8666	---M--	200	added ('OK')	text/css	etag:%2214dc3649-21da-574a69ba18400%22	https://sojonever.com/html/zuman/css/mobiriseicons.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/mobiriseicons.css	(from https://sojonever.com/html/zuman/index.html)
13:38:46	51278/51278	---M--	200	added ('OK')	text/css	etag:%2214dc3646-c84e-57e56aec53400%22	https://sojonever.com/html/zuman/css/ionicons.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/ionicons.css	(from https://sojonever.com/html/zuman/index.html)
13:38:47	3351/3351	---M--	200	added ('OK')	text/css	etag:%2214dc364a-d17-579847ddf8d80%22	https://sojonever.com/html/zuman/css/owl.carousel.min.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/owl.carousel.min.css	(from https://sojonever.com/html/zuman/index.html)
13:38:47	7741/7741	---M--	200	added ('OK')	text/css	etag:%2214dc364c-1e3d-57fbb6eea1600%22	https://sojonever.com/html/zuman/css/splitting.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/splitting.css	(from https://sojonever.com/html/zuman/index.html)
13:38:48	6951/6951	---M--	200	added ('OK')	text/css	etag:%2214dc3647-1b27-57fec82432080%22	https://sojonever.com/html/zuman/css/magnific-popup.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/magnific-popup.css	(from https://sojonever.com/html/zuman/index.html)
13:38:48	5982/5982	---M--	200	added ('OK')	text/css	etag:%2214dc376f-175e-58145f4930c60%22	https://sojonever.com/html/zuman/css/responsive.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/responsive.css	(from https://sojonever.com/html/zuman/index.html)
13:38:49	27567/27567	---M--	200	added ('OK')	text/css	etag:%2214dc3648-6baf-58045c44c8080%22	https://sojonever.com/html/zuman/css/main.css	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/main.css	(from https://sojonever.com/html/zuman/index.html)
13:38:49	25561/25561	---M--	200	added ('OK')	image/png	etag:%2214dc366a-63d9-580124fe92780%22	https://sojonever.com/html/zuman/img/logo.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/logo.png	(from https://sojonever.com/html/zuman/index.html)
13:38:50	86767/86767	---M--	200	added ('OK')	image/jpeg	etag:%2214dc3669-152ef-58039b5f86780%22	https://sojonever.com/html/zuman/img/home_wrapper_cover_4.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/home_wrapper_cover_4.jpg	(from https://sojonever.com/html/zuman/index.html)
13:38:50	759/759	---M--	200	added ('OK')	image/svg+xml	etag:%2214dc367f-2f7-57e6a52e62180%22	https://sojonever.com/html/zuman/img/zigzag.svg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/zigzag.svg	(from https://sojonever.com/html/zuman/index.html)
13:38:52	10502/10502	---M--	200	added ('OK')	image/jpeg	etag:%2214dc3670-2906-573b852ed1880%22	https://sojonever.com/html/zuman/img/work_01.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_01.jpg	(from https://sojonever.com/html/zuman/index.html)
